"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 9","41:29","41:29","8,00","5:11","5:11","138","145","29","25","172","256","49,6% L / 50,4% P","1,12","10,0","8,7","395","393","4.86","445","5.50","593","15,0","4:52","186","41:26","5:11"
"","1","Bieg","10","0:30","41:59","0,14","3:34","4:12","146","156","0","1","189","205","49,8% L / 50,3% P","1,30","8,9","6,9","398","445","5.50","519","6.42","8","9,0","3:34","196","0:29","3:26"
"","","Regeneracja","11","1:30","43:29","0,26","5:43","5:28","147","160","0","2","168","268","49,7% L / 50,3% P","1,09","10,1","9,1","386","356","4.40","549","6.79","22","8,0","3:32","195","1:29","5:39"
"","2","Bieg","12","0:30","43:59","0,14","3:30","4:36","149","160","0","1","191","203","49,8% L / 50,2% P","1,25","8,7","7,1","363","405","5.01","491","6.07","8","7,0","3:40","194","0:29","3:23"
"","","Regeneracja","13","1:30","45:29","0,26","5:44","5:40","148","162","0","2","168","271","49,5% L / 50,5% P","1,06","10,0","9,3","368","346","4.28","520","6.43","21","7,0","3:40","191","1:29","5:41"
"","3","Bieg","14","0:30","45:59","0,15","3:23","3:58","149","160","0","0","193","202","49,2% L / 50,8% P","1,34","8,4","6,5","388","457","5.65","557","6.89","8","7,0","3:08","198","0:29","3:17"
"","","Regeneracja","15","1:30","47:29","0,26","5:48","5:30","150","162","0","1","169","270","49,8% L / 50,2% P","1,11","9,9","8,9","396","363","4.49","558","6.90","22","7,0","3:20","193","1:29","5:44"
"","4","Bieg","16","0:30","47:59","0,15","3:26","4:30","153","163","0","0","194","202","49,9% L / 50,1% P","1,24","8,4","6,8","402","457","5.65","583","7.21","8","7,0","3:42","199","0:29","3:19"
"","","Regeneracja","17","1:30","49:29","0,25","5:57","5:39","153","165","4","0","167","275","49,9% L / 50,1% P","1,02","9,8","9,3","412","379","4.69","613","7.58","22","7,0","3:34","194","1:29","5:53"
"","5","Bieg","18","0:30","49:59","0,15","3:23","4:11","150","163","0","0","194","200","50,1% L / 49,9% P","1,25","8,3","6,8","421","493","6.10","593","7.33","8","8,0","3:24","198","0:29","3:16"
"","","Regeneracja","19","1:30","51:29","0,26","5:47","5:29","155","166","2","0","168","271","50,0% L / 50,0% P","1,05","9,8","9,1","430","389","4.81","624","7.72","23","8,0","3:28","196","1:29","5:43"
"","6","Bieg","20","0:30","51:59","0,15","3:25","4:03","153","163","0","0","194","203","49,7% L / 50,3% P","1,24","8,3","6,7","435","499","6.17","589","7.28","8","8,0","3:33","200","0:29","3:18"
"","","Regeneracja","21","1:30","53:29","0,25","5:53","5:22","155","167","4","0","169","270","49,8% L / 50,2% P","1,05","9,5","8,8","425","387","4.79","594","7.35","23","8,0","3:26","200","1:29","5:49"
"","","Schładzanie","22 - 24","13:36","1:07:05","2,59","5:15","5:17","139","146","5","13","173","258","49,8% L / 50,2% P","1,10","9,7","8,6","375","374","4.62","426","5.27","184","7,0","4:57","176","13:36","5:15"
"","Podsumowanie","--","--","1:07:05","1:07:05","13,01","5:09","5:12","141","167","42","46","172","256","49,7% L / 50,3% P","1,12","9,8","8,6","393","389","4.81","624","7.72","958","12,0","3:08","200","1:07:02","5:09"
