"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","3:53,8","3:53,8","1,00","3:54","4:02","143","159","3","5","474","5.87","604","7.48","186","210","49,9% L / 50,1% P","1,35","9,5","6,9","63","15,0","3:29","203","3:52","3:52","--","--"
"2","3:51,7","7:45,6","1,00","3:52","3:53","161","164","2","10","488","6.04","585","7.24","184","212","49,9% L / 50,1% P","1,42","9,6","6,6","66","12,0","3:38","187","3:51","3:51","--","--"
"3","3:54,6","11:40","1,00","3:55","3:55","166","170","5","3","509","6.30","575","7.12","186","211","50,0% L / 50,0% P","1,38","9,4","6,6","69","10,0","3:49","201","3:54,6","3:55","--","--"
"4","3:53,0","15:33","1,00","3:53","3:52","169","172","5","4","513","6.35","578","7.16","185","210","50,0% L / 50,0% P","1,39","9,5","6,6","69","10,0","3:48","188","3:53,0","3:53","--","--"
"5","3:53,0","19:26","1,00","3:53","3:50","171","173","5","0","494","6.12","558","6.91","186","210","50,2% L / 49,8% P","1,38","9,3","6,5","70","9,0","3:47","189","3:53","3:53","--","--"
"6","3:50,2","23:16","1,00","3:50","3:53","170","172","0","6","476","5.89","540","6.69","185","209","50,4% L / 49,6% P","1,41","9,4","6,4","69","9,0","3:42","190","3:50","3:50","--","--"
"7","3:52,3","27:09","1,00","3:52","3:53","171","173","3","4","491","6.08","599","7.42","186","210","50,5% L / 49,5% P","1,38","9,2","6,4","70","8,0","3:50","189","3:52,3","3:52","--","--"
"8","3:53,8","31:02","1,00","3:54","3:52","172","175","2","4","502","6.22","551","6.82","187","210","50,5% L / 49,5% P","1,38","9,1","6,3","71","7,0","3:41","189","3:53","3:53","--","--"
"9","3:54,8","34:57","1,00","3:55","3:52","173","175","5","0","506","6.27","592","7.33","187","211","50,5% L / 49,5% P","1,37","8,9","6,3","72","7,0","3:42","191","3:54,8","3:55","--","--"
"10","3:34,5","38:32","0,93","3:51","3:49","174","177","5","2","481","5.96","530","6.56","188","210","50,6% L / 49,4% P","1,39","8,7","6,0","66","7,0","3:46","193","3:34","3:50","--","--"
"Podsumowanie","38:32","38:32","9,93","3:53","3:53","167","177","34","38","494","6.12","604","7.48","186","210","50,3% L / 49,7% P","1,39","9,3","6,5","687","9,4","3:29","203","38:28","3:52","--","--"
