"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:53,7","4:53,7","1,00","4:54","4:58","130","142","0","1","381","4.89","441","5.65","175","255","50,0% L / 50,0% P","1,17","9,4","7,9","68","16,0","4:19","180","4:53,7","4:54","--","--"
"2","4:48,5","9:42,2","1,00","4:49","4:47","138","144","4","1","386","4.95","421","5.40","177","249","49,7% L / 50,3% P","1,17","9,1","7,5","72","13,0","4:41","179","4:48","4:48","--","--"
"3","4:47,9","14:30","1,00","4:48","4:45","139","142","3","0","393","5.04","437","5.60","177","250","49,8% L / 50,2% P","1,17","9,2","7,6","72","12,0","4:31","179","4:47,9","4:48","--","--"
"4","4:52,9","19:23","1,00","4:53","4:48","141","145","8","1","395","5.06","460","5.90","176","252","49,8% L / 50,2% P","1,17","9,3","7,8","73","11,0","4:35","179","4:52,9","4:53","--","--"
"5","4:48,1","24:11","1,00","4:48","4:47","140","145","1","0","396","5.08","441","5.65","176","250","50,1% L / 49,9% P","1,18","9,3","7,6","71","11,0","4:33","184","4:48","4:48","--","--"
"6","4:52,8","29:04","1,00","4:53","4:58","140","148","1","8","395","5.06","465","5.96","174","253","50,1% L / 49,9% P","1,18","9,6","7,9","72","10,0","4:47","178","4:52,8","4:53","--","--"
"7","4:50,9","33:55","1,00","4:51","4:53","141","144","0","3","400","5.13","424","5.44","174","252","50,4% L / 49,6% P","1,19","9,5","7,8","70","9,0","4:43","176","4:50,9","4:51","--","--"
"8","4:48,5","38:43","1,00","4:49","4:52","140","143","1","6","405","5.19","460","5.90","173","254","50,5% L / 49,5% P","1,20","9,6","7,8","69","9,0","4:38","176","4:48","4:48","--","--"
"9","4:54,4","43:38","1,00","4:54","4:53","142","145","3","6","397","5.09","440","5.64","173","259","50,6% L / 49,4% P","1,19","9,6","7,9","71","8,0","4:35","177","4:54,4","4:54","--","--"
"10","4:55,8","48:34","1,00","4:56","4:57","142","146","3","0","387","4.96","421","5.40","173","257","50,6% L / 49,4% P","1,16","9,6","8,0","71","9,0","4:47","176","4:55,8","4:56","--","--"
"11","4:56,1","53:30","1,00","4:56","4:56","142","147","5","1","389","4.99","456","5.85","173","258","50,5% L / 49,5% P","1,17","9,6","8,0","70","9,0","4:35","176","4:56","4:56","--","--"
"12","4:55,9","58:26","1,00","4:56","4:53","143","149","3","0","390","5.00","458","5.87","173","258","51,0% L / 49,0% P","1,17","9,5","7,9","70","9,0","4:31","176","4:55,9","4:56","--","--"
"13","4:58,2","1:03:24","1,00","4:58","4:55","142","146","8","1","390","5.00","459","5.89","174","259","50,5% L / 49,5% P","1,15","9,4","8,0","70","9,0","4:42","177","4:58","4:58","--","--"
"14","4:56,3","1:08:20","1,00","4:56","4:57","141","146","2","1","389","4.99","470","6.03","174","257","51,1% L / 48,9% P","1,16","9,4","7,9","69","8,0","4:38","176","4:56","4:56","--","--"
"15","4:55,0","1:13:15","1,00","4:55","4:57","139","144","0","7","398","5.10","441","5.65","175","257","50,8% L / 49,2% P","1,16","9,4","7,9","69","8,0","4:37","178","4:55,0","4:55","--","--"
"16","4:59,3","1:18:14","1,00","4:59","5:01","140","144","3","7","393","5.04","433","5.55","174","259","50,4% L / 49,6% P","1,15","9,4","7,9","69","7,0","4:37","177","4:59","4:59","--","--"
"17","4:57,6","1:23:12","1,00","4:58","5:01","140","143","0","6","393","5.04","431","5.53","174","261","50,6% L / 49,4% P","1,16","9,4","7,9","69","7,0","4:46","176","4:57,6","4:58","--","--"
"18","4:58,2","1:28:10","1,00","4:58","5:00","141","144","2","4","387","4.96","452","5.80","174","263","50,5% L / 49,5% P","1,15","9,3","7,8","71","7,0","4:34","191","4:58","4:58","--","--"
"19","0:01,7","1:28:12","0,01","3:35","5:33","140","140","0","0","375","4.81","394","5.05","169","279","50,7% L / 49,3% P","1,11","9,0","7,9","0","7,0","5:28","169","0:01","2:09","--","--"
"Podsumowanie","1:28:12","1:28:12","18,01","4:54","4:54","140","149","48","52","392","5.03","470","6.03","174","256","50,4% L / 49,6% P","1,17","9,4","7,8","1.267","9,5","4:19","191","1:28:09","4:54","--","--"
