"Okrążenia","Czas","Łączny czas","Dystansm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:54,0","4:54,0","1.000","4:54","--","129","137","0","0","385","4.96","526","6.77","173","246","49,9% L / 50,1% P","1,21","9,7","7,8","70","16,0","4:25","176","4:54,0","4:54","--","--"
"2","4:47,2","9:41,2","1.000","4:47","--","139","145","0","0","391","5.03","419","5.40","173","244","49,8% L / 50,2% P","1,22","9,7","7,7","72","14,0","4:29","178","4:47","4:47","--","--"
"3","4:15,1","13:56","1.000","4:15","--","150","156","0","0","427","5.50","467","6.01","180","224","49,7% L / 50,3% P","1,31","9,4","6,9","68","13,0","3:59","182","4:15","4:15","--","--"
"4","4:16,6","18:13","1.000","4:17","--","154","157","0","0","425","5.47","434","5.59","179","224","49,9% L / 50,1% P","1,32","9,4","6,9","70","12,0","4:08","181","4:16,6","4:17","--","--"
"5","4:14,9","22:28","1.000","4:15","--","157","159","0","0","430","5.54","493","6.35","179","222","50,1% L / 49,9% P","1,35","9,5","6,8","70","11,0","3:56","197","4:14,9","4:15","--","--"
"6","4:12,4","26:40","1.000","4:12","--","158","161","0","0","433","5.58","477","6.14","179","220","50,3% L / 49,7% P","1,34","9,6","6,9","70","11,0","4:01","182","4:12","4:12","--","--"
"7","4:15,1","30:55","1.000","4:15","--","159","161","0","0","429","5.52","494","6.36","179","222","50,3% L / 49,7% P","1,33","9,5","6,9","71","11,0","3:50","181","4:15,1","4:15","--","--"
"8","4:14,2","35:10","1.000","4:14","--","160","161","0","0","434","5.59","467","6.01","180","222","50,2% L / 49,8% P","1,35","9,4","6,8","71","10,0","3:58","182","4:14","4:14","--","--"
"9","4:18,6","39:28","1.000","4:19","--","160","161","0","0","426","5.49","446","5.74","180","224","50,1% L / 49,9% P","1,32","9,3","6,8","71","10,0","4:04","182","4:18","4:18","--","--"
"10","4:12,8","43:41","1.000","4:13","--","160","163","0","0","435","5.60","461","5.94","183","221","50,0% L / 50,0% P","1,33","9,1","6,6","71","10,0","4:02","187","4:12,8","4:13","--","--"
"11","4:13,7","47:55","1.000","4:14","--","162","164","0","0","433","5.58","464","5.97","183","222","50,0% L / 50,0% P","1,32","9,0","6,6","72","11,0","4:03","185","4:13,7","4:14","--","--"
"12","4:10,6","52:05","1.000","4:11","--","163","164","0","0","434","5.59","492","6.34","184","220","50,1% L / 49,9% P","1,32","8,9","6,6","71","10,0","3:51","186","4:10,6","4:11","--","--"
"13","4:12,7","56:18","1.000","4:13","--","162","164","0","0","434","5.59","460","5.92","185","221","50,0% L / 50,0% P","1,32","8,9","6,5","71","10,0","3:59","192","4:12","4:12","--","--"
"14","4:10,6","1:00:29","1.000","4:11","--","162","164","0","0","431","5.55","486","6.26","185","220","50,0% L / 50,0% P","1,31","8,7","6,5","71","10,0","3:50","187","4:10,6","4:11","--","--"
"15","5:30,2","1:05:59","1.000","5:30","--","143","162","0","0","351","4.52","455","5.86","170","267","49,6% L / 50,4% P","1,09","9,5","8,5","76","11,0","4:06","183","5:30","5:30","--","--"
"16","5:15,3","1:11:14","1.000","5:15","--","139","142","0","0","364","4.69","378","4.87","173","264","49,1% L / 50,9% P","1,12","9,4","8,2","76","11,0","5:02","176","5:15","5:15","--","--"
"17","0:00,5","1:11:15","0","5:15","--","140","140","0","0","385","4.96","385","4.96","174","253","49,6% L / 50,4% P","1,12","10,4","8,6","0","10,0","0","174","0:00,5","0","--","--"
"Podsumowanie","1:11:15","1:11:15","16.000","4:27","--","153","164","0","0","414","5.33","526","6.77","179","232","49,9% L / 50,1% P","1,28","9,3","7,1","1.139","11,4","3:50","197","1:11:12","4:27","--","--"
